URL d'accès au document;Type de document;Titre;Auteurs;Contributeur;Éditeurs;Date d'édition;Description;Sujet;Nombre de Vues;Code Sdewey;Sdewey;Set OAI;Provenance;Ark Catalogue;Ark Recueil;Droits
https://gallica.bnf.fr/ark:/12148/bpt6k5707738q;monographie;Le salut aux courtisans.;;;M. DC. XLIX.;1649;;;8;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33595327k;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5618936x;monographie;Satyre de Mazarin, envoyé à Monsieur le Duc de Beaufort.;;;A Paris, M. DC. XLIX.;1649;;;6;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33596390k;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5618699d;monographie;Le second festin des bourgeois de la ville de Paris;;;;1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33599255h;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5426123q;monographie;Le retour de l'abondance dans les ports et places publiques de la ville de Paris . En vers burlesques;;;M. Henault (Paris);1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33587897d;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k56199775;monographie;Stances sur le départ de Monseigneur le premier président, garde des seaux de France;;;Antoine Estiene (Paris);1652;;;6;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33611753s;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5613358w;monographie;Satyre contre Mazarin;;;;1651;;;8;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb335963850;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5429380c;monographie;Triolets sur le désir que les parisiens ont de revoir le Roy;;;M.DC.XLIX.;1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb34024632k;cb421393414 ¤ cb421401559;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5708102b;monographie;Epitaphe de la sainte boutique d'un maistre savetier de la rue des prescheurs;;;;1649;;;6;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33370400v;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5675043p;monographie;Burlesque sur la fuitte de mazarin et la rencontre de madame la duchesse de Longueville, retournant de Stenay à Paris;;;;1651;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33274884m;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5612946f;monographie;Le second ramage de l'oyseau.;;;A Paris, M. DC. L.;1650;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33599285f;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k57131964;monographie;L'eloge de monseigneur le prince de Conty;;;Ve A. Coulon (Paris);1649;;;8;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33364529m;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5429114p;monographie;Triolets de Bourdeaux.;;;;1649;;France (1643-1715, Louis XIV);10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33631474b;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5425495x;monographie;Réflexions sur l'arest du Parlement donné en faveur de Mr le Duc de Vendosme contre les prétensions de Mr le Duc d'Elboeuf;;;G. Sassier (Paris);1651;;;6;44;Français;gallica:theme:4:44 ¤ gallica:typedoc:monographies;bnf.fr;cb335731692;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k56514349;monographie;L'apologie de l'autruche en vers burlesques.;;;[S.l.] M. DC. L.;1650;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb359432101;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k57059166;monographie;Seconde partie du Frondeur des-interesse. Aux frondeurs interessez.;Laffemas, Isaac de (1589?-1657). Auteur du texte;;[S. l.] M.DC.L.;1650;;France (1643-1715, Louis XIV);14;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb32336790z;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5620020r;monographie;Songe sur la France, Presenté à une grande Dame, des plus accomplies de France.;;;A Paris, M. DC. LII.;1652;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33608481p;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5429166d;monographie;Le vaisseau de Paris eschappé du naufrage par l'heureux retour du Roy dans sa bonne ville de Paris , ode;;;Ve J. Remy (Paris);1649;;;8;84;Littérature francophone;gallica:corpus:LangRous1 ¤ gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33638034p;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5720631v;monographie;Le tocsein de la France pour le maintien du Roy et de sa couronne;;;;1649;;;14;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb336267207;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5427574q;monographie;Les Triolets de la cour, à l'arrivée de Mazarin;;;[S. l.] M. DC. LII.;1652;;;14;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33631478q;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5723645t;monographie;La sortie de Monseigneur le Duc de Beaufort du bois de Vincennes-Stances;;;Rolin de la Haye (Paris);1649;;;6;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33608769n;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k56609392;monographie;Le Commerce restably. En vers burlesques;;;N. de la vigne (Paris);1649;;;14;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33314061p;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k57079852;monographie;Le salve, Regina de Mazarin et des partisans;;;;1649;;;6;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33595409x;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5675848h;monographie;La chemise sanglante de Mazarin, en vers burlesques;;;N. Charles (Paris);1649;;;14;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33298850p;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k54294080;monographie;Le trou fait à la nuict par Mazarin burlesque , ou sa fuite hors du royaume avec la route qu'il a tenue depuis sa sortie;;;[s.n.] (Paris);1651;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33632601x;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k54259250;monographie;Remerciment des Normans à Son Altesse de Longueville pour la paix.;;;A Paris, chez Cardin Besongne, ruë d'Ecosse au mont sainct Hilaire, au Chapeau Royal. M. DC. XLIX.;1649;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33580941c;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k56792567;monographie;Le cardinal pelerin ou le bourdon de Sainct Jacques, présenté à son éminence, par Messieurs de la ville de Liège;;;;1651;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33280661n;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5611965g;monographie;Poesie sur la barbe de M. le P. Pr.;;;;1649;;;12;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb335413236;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5425936s;monographie;Le rat de la cour;;;;1650;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb335648738;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5700650n;monographie;L'Exaudiat des bourgeois de Paris, présenté au Roy à son arrivée en cette ville;;;J. Brunet (Paris);1652;;;8;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33379595t;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5612444w;monographie;Le Paranymphe aromatique, dédié à Monseigneur le Duc de Beaufort;;;Ve A. Coullon (Paris);1650;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33525792p;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5674867j;monographie;Sentence burlesque (signée : Canabot);Canabot. Auteur du texte;;;1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb339877714;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5426120g;monographie;La reconnaissance de La France faite à Monseigneur le Duc de Beaufort;;;C. Boudeville (Paris);1650;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb335669197;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k54293663;monographie;Triolets du Palais Royal envoyez au palais d'Orléans, avec la response du Palais d'Orléans au Palais Royal;;;[s.n.][s.n.];1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb336314850;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k54293663;monographie;Triolets du Palais Royal envoyez au palais d'Orléans, avec la response du Palais d'Orléans au Palais Royal;;;[s.n.][s.n.];1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb336314850;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5720638r;monographie;Paris en son estre malgré l'envie.;;;A Paris, M. DC. XLIX.;1649;;;14;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33526340k;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5851826m;monographie;Les larmes Mazarines;;;;1651;;;14;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33448857d;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5577097m;monographie;L' Asne du procureur ressuscité . En vers burlesques;;;A Paris, M.DC.XLIX;1649;;;14;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb35942525n;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k56793006;monographie;Ode présentée à monseigneur le prince de Conty en la maison de ville sur son arrivée à Paris. (Signé : Burnel.);Burnel. Auteur du texte;;impr. de Blageart (Paris);1649;;;10;80;Littérature:Généralités;gallica:corpus:LangRous1 ¤ gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb30178685s;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5710289d;monographie;La satyre du temps, ou la guerre declarée aux partisans. En vers burlesques;;;N. de la Vigne (Paris);1649;;;8;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33596404f;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5696417f;monographie;Les contreveritez de la cour. Quis vetat ridendo dicere verum.;;;A Paris, M. DC. LII.;1652;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb333261411;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5722057n;monographie;Le terme de Pasques sans trébuchet, en vers burlesque. Suivant l'arrest du 14. d'avril mil six quarante-neuf. [sic];Laffemas, Laurent de. Auteur du texte;;A Paris, de l'Imprimerie de Nicolas Jacquard, ruë Chartière prés le Puits-Certain, au Treillis-vert. M. DC. XLIX.;1649;;;14;;;gallica:typedoc:monographies;bnf.fr;cb30714042p;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k56575014;monographie;A un ministre d' Estat, sur les œufs.;;;[S. l.] M. DC. XLIX.;1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb35940016t;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5622542p;monographie;L'onophage, ou Le mangeur d'asne.;;L. S. D. L. C.. Fonction indéterminée;A Paris, M. DC. XLIX.;1649;;;14;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb335194124;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k56955058;monographie;Les divertissemens du carnaval ou Ode bacchèque sur l'éloignement du cardinal Mazarin et le prochain retour des princes;;;;1651;;;10;84;Littérature francophone;gallica:corpus:LangRous1 ¤ gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33352956x;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5427524t;monographie;"Response au ""bandeau de l'honneur"". En vers burlesques";;;A Paris. M. DC. XLIX.;1649;;;14;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33583171t;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5707978x;monographie;L'entrée de M. le Marquis de la Boulaye dans la ville du Mans, et la honteuse fuitte des Mazarinistes. En vers burlesques;;;imp. de M. Colombel (Paris);1649;;;8;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33368857n;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5612935n;monographie;La Calotte de Mazarin renversée, sur la mort de son nepveu Manchiny, par le sieur Scaron;Scarron, Paul (1610-1660). Auteur du texte;;;1652;;;8;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb31308579m;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5666372g;monographie;Avis+ charitable et :burlesques [sic]: +burlesque+ aux religieuses :refugiez [sic]: +réfugiées+ dans Paris, sur leurs occupations ordinaires;;;A Paris, M.DC.LII;1652;;;14;20;Religion:Généralités;gallica:theme:2:20 ¤ gallica:typedoc:monographies;bnf.fr;cb35950262r;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5429367h;monographie;Triolets sur la France métamorphosée;;;[s.n.][s.n.];1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33631499p;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5425933j;monographie;Remonstrance des bons François à Messieurs du Parlement;;;imp. de M. Mettayer (Paris);1649;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33581093c;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5711697n;monographie;Ode au Roy sur les mouvemens arrivez à Paris, au commencement de l'année 1649, ensuite de l'enlèvement fait de Sa Majesté, par le Cardinal Mazarin;;;;1649;;;10;944;Histoire de France;gallica:corpus:LangRous1 ¤ gallica:theme:9:944 ¤ gallica:typedoc:monographies;bnf.fr;cb33515955t;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5710061n;monographie;Le congé burlesque de l'armée normande.;;Ferrand, David (1589-1660). Auteur présumé du texte;Jouxte la copie imprimée à Rouen;1649;;;8;32;Science politique;gallica:corpus:HNormand1 ¤ gallica:theme:3:32 ¤ gallica:typedoc:monographies;bnf.fr;cb33320214z;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5425922r;monographie;Remonstrance de l'Eminence à la France, et quelque autre manigance;;;;1649;;;10;944;Histoire de France;gallica:theme:9:944 ¤ gallica:typedoc:monographies;bnf.fr;cb335810863;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k55750332;monographie;Affectionnés+ souhaits du peuple de Paris, pour la conservation :&: +et+ progrés de leurs :Majestez: +Majestés+ dans leurs voyages, & leur marche en Bourgongne;;;[S.l.] M.DC.L;1650;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb35942311d;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5675906h;monographie;Le caresme de Mazarin ou la suite des triolets...;;;;1651;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb332806969;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5618852p;monographie;Art de bien dire des courtisans de la cour+ 02+ , qui consiste à bien esmouvoir. En vers burlesques;;;A Paris, chez Claude Morlot. M.DC.XLIX;1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb361250767;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5695504v;monographie;Le coup de fronde ou L'echo du bois de Vincenne.;;;A Paris, de l'imprimerie de Jacques Canabot, ruë de la Machine, à l'enseigne de Lequinoxe. M. D. C. L.;1650;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33329323c;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5611940n;monographie;Plaintes burlesques du secretaire extravagant . Des nourrices, des servantes, des cochers, des lacquais, & de toute la Republique idiotte;;;A Paris, chez la vefve A. Musnier. M.DC.XLIX;1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33539385g;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k54291687;monographie;La science universelle des :courtisans:+courtisants+. 3, Troisiesme et dernière partie de la science universelle des courtisans , qui consiste dans les comparaisons de leur grammaire. En vers burlesques;;;[s.n.] (Paris);1649;;;14;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb42505765b;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5576896n;monographie;L'Adieu et le désespoir des :autheurs et escrivains: +auteurs et écrivains+ de libelles de la guerre civile . En vers burlesques;;;A Paris, chez Claude Morlot. M.DC.XLIX;1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb36121074k;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5612134g;monographie;Sainte allégorie sur l'Exaudiat chanté dans les églises de Paris pour la prospérité du Roy et son heureux retour;;;C. Morlot (Paris);1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33594707t;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5696362x;monographie;La desroute des Mazarins par les frondeurs;;;;1651;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33342243f;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5613178z;monographie;La Toilette ployée de Mazarin, sortant du Chasteau de Pontoise.;;;A Paris, Chez Nicolas Lerrein, prés College d'Aras. M. DC. LII.;1652;;;8;84;Littérature francophone;gallica:corpus:IledeFr1 ¤ gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33626790d;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5427551q;monographie;Vers burlesques envoyez à Monsieur Scarron sur l'arrivée du convoy à Paris;;;;1649;;;6;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33641236f;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5708121p;monographie;L'envoy de Mazarin au mont Gibel, ou l'étique Mazarin;;;;1649;;;6;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb333697072;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5719985z;monographie;Le torche-barbe de Mazarin et du Mareschal de Turenne à l'arrivée de l'armée du Duc de Lorrainne, et leurs espérance perduës. En vers burlesques;;;;1652;;;14;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33627134h;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5545532j;monographie;Les serieuses reflections du cardinal Mazarin. En vers.;;;A Paris, chez la vefve Jean Remy, ruë sainct Jacques, à l'Image S./ Remy, prés le College du Plessis. M. DC. XLIX.;1649;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33601985r;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k56103104;monographie;Les soldats sorties de Ville-Juifve sans congé. En vers burlesques;;;N. de la Vigne (Paris);1649;;;10;84;Littérature francophone;gallica:theme:8:84 ¤ gallica:typedoc:monographies;bnf.fr;cb33607505m;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k57083110;monographie;Les sept trompettes du ciel, envoyées par la France à Jules Mazarin pour l'exciter à faire pénitence. En vers burlesques;;;M. Henault (Paris);1649;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33601468s;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5425927t;monographie;Les ressentiments de Paris sur la durée de la Guerre et des malheurs du temps present;;;;1652;;;10;944;Histoire de France;gallica:theme:9:944 ¤ gallica:typedoc:monographies;bnf.fr;cb33587137m;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5696628x;monographie;Le decalogue françois.;;;A Paris, M. DC. XLIX.;1649;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33337367q;cb421393414;domaine public
https://gallica.bnf.fr/ark:/12148/bpt6k5425935c;monographie;Les regrets de Madame la Duchesse de Nemours sur la mort du Duc son mary;;;imp. de Ve I. Guillemot (Paris);1652;;;10;80;Littérature:Généralités;gallica:theme:8:80 ¤ gallica:typedoc:monographies;bnf.fr;cb33577321k;cb421393414;domaine public
